file_id,time,memory
1,0.723496,315.82
2,2.012648,621.55
3,5.726325,1213.16
4,10.758078,1807.97
5,17.346493,2450.54
6,26.403432,3281.12
7,44.139928,4477.68
8,62.266132,5592.35
9,96.143765,7200.93
10,139.336325,9454.19
11,189.323854,11515.21
12,240.302371,13655.06
13,311.317710,16336.68
14,398.559807,19209.52
15,514.818840,23060.45
