file_id,time,memory
1,0.447482,642.16
2,1.199910,1257.84
3,3.453485,2447.98
4,6.247551,3643.27
5,9.956451,4933.40
6,15.408634,6599.85
7,25.073357,9000.00
8,34.519696,11234.95
9,56.245811,14459.52
10,77.240227,18974.01
11,104.846528,23103.23
12,133.584228,27390.51
13,171.818949,32761.73
14,216.485982,38515.63
15,288.254399,46227.13
